"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 05 18:32:59 TRT 2022","Mon Sep 05 18:32:59 TRT 2022","735","Surefire suite","Surefire test","ApiTests.PetStoreTest","ApiTests.PetStoreTest","findByStatusSoldTest","findByStatusSoldTest","get find by status sold"
"passed","Mon Sep 05 18:33:06 TRT 2022","Mon Sep 05 18:33:06 TRT 2022","297","Surefire suite","Surefire test","EnuygunTest.EnuygunFlightTest","EnuygunTest.EnuygunFlightTest","selectDestinationPlace","selectDestinationPlace","select destination place"
"passed","Mon Sep 05 18:32:58 TRT 2022","Mon Sep 05 18:32:59 TRT 2022","714","Surefire suite","Surefire test","ApiTests.PetStoreTest","ApiTests.PetStoreTest","findByStatusPendingTest","findByStatusPendingTest","get find by status pending"
"passed","Mon Sep 05 18:33:21 TRT 2022","Mon Sep 05 18:33:25 TRT 2022","4665","Surefire suite","Surefire test","EnuygunTest.EnuygunFlightTest","EnuygunTest.EnuygunFlightTest","selectFlights","selectFlights","select flights"
"passed","Mon Sep 05 18:33:11 TRT 2022","Mon Sep 05 18:33:20 TRT 2022","8758","Surefire suite","Surefire test","EnuygunTest.EnuygunFlightTest","EnuygunTest.EnuygunFlightTest","selectOriginFlight","selectOriginFlight","select origin flight"
"passed","Mon Sep 05 18:33:02 TRT 2022","Mon Sep 05 18:33:02 TRT 2022","759","Surefire suite","Surefire test","ApiTests.PetStoreTest","ApiTests.PetStoreTest","unsuccessfulPetDeleteTest","unsuccessfulPetDeleteTest","delete unsuccessful pet"
"passed","Mon Sep 05 18:33:05 TRT 2022","Mon Sep 05 18:33:06 TRT 2022","385","Surefire suite","Surefire test","EnuygunTest.EnuygunFlightTest","EnuygunTest.EnuygunFlightTest","selectOriginPlace","selectOriginPlace","set origin place"
"passed","Mon Sep 05 18:33:01 TRT 2022","Mon Sep 05 18:33:02 TRT 2022","728","Surefire suite","Surefire test","ApiTests.PetStoreTest","ApiTests.PetStoreTest","unsuccessfulFindPetByIdTest","unsuccessfulFindPetByIdTest","get unsuccessful find pet by id"
"passed","Mon Sep 05 18:33:06 TRT 2022","Mon Sep 05 18:33:06 TRT 2022","362","Surefire suite","Surefire test","EnuygunTest.EnuygunFlightTest","EnuygunTest.EnuygunFlightTest","selectDays","selectDays","select flight days"
"passed","Mon Sep 05 18:32:54 TRT 2022","Mon Sep 05 18:32:54 TRT 2022","909","Surefire suite","Surefire test","ApiTests.GroceryTest","ApiTests.GroceryTest","getGroceryByNameTest","getGroceryByNameTest","get grocery by name"
"passed","Mon Sep 05 18:32:50 TRT 2022","Mon Sep 05 18:32:53 TRT 2022","3072","Surefire suite","Surefire test","ApiTests.GroceryTest","ApiTests.GroceryTest","getAllGroceryTest","getAllGroceryTest","get all grocery"
"passed","Mon Sep 05 18:33:06 TRT 2022","Mon Sep 05 18:33:06 TRT 2022","81","Surefire suite","Surefire test","EnuygunTest.EnuygunFlightTest","EnuygunTest.EnuygunFlightTest","selectIsDirect","selectIsDirect","select is direct"
"passed","Mon Sep 05 18:32:56 TRT 2022","Mon Sep 05 18:32:57 TRT 2022","877","Surefire suite","Surefire test","ApiTests.PetStoreTest","ApiTests.PetStoreTest","addPetTest","addPetTest","post add pet"
"passed","Mon Sep 05 18:33:00 TRT 2022","Mon Sep 05 18:33:01 TRT 2022","701","Surefire suite","Surefire test","ApiTests.PetStoreTest","ApiTests.PetStoreTest","petDeleteTest","petDeleteTest","delete pet"
"passed","Mon Sep 05 18:33:20 TRT 2022","Mon Sep 05 18:33:21 TRT 2022","1307","Surefire suite","Surefire test","EnuygunTest.EnuygunFlightTest","EnuygunTest.EnuygunFlightTest","selectReturnFlight","selectReturnFlight","select return flight"
"passed","Mon Sep 05 18:33:04 TRT 2022","Mon Sep 05 18:33:05 TRT 2022","1222","Surefire suite","Surefire test","EnuygunTest.EnuygunFlightTest","EnuygunTest.EnuygunFlightTest","openFlightPage","openFlightPage","open enuygun flight page"
"passed","Mon Sep 05 18:33:02 TRT 2022","Mon Sep 05 18:33:04 TRT 2022","1785","Surefire suite","Surefire test","EnuygunTest.EnuygunFlightTest","EnuygunTest.EnuygunFlightTest","openEnuygun","openEnuygun","open enuygun home page"
"passed","Mon Sep 05 18:33:07 TRT 2022","Mon Sep 05 18:33:11 TRT 2022","4239","Surefire suite","Surefire test","EnuygunTest.EnuygunFlightTest","EnuygunTest.EnuygunFlightTest","findFlights","findFlights","find flights"
"passed","Mon Sep 05 18:32:54 TRT 2022","Mon Sep 05 18:32:55 TRT 2022","466","Surefire suite","Surefire test","ApiTests.GroceryTest","ApiTests.GroceryTest","addGroceryTest","addGroceryTest","post add grocery"
"passed","Mon Sep 05 18:32:57 TRT 2022","Mon Sep 05 18:32:58 TRT 2022","776","Surefire suite","Surefire test","ApiTests.PetStoreTest","ApiTests.PetStoreTest","findByStatusAvailableTest","findByStatusAvailableTest","get find by status available "
"passed","Mon Sep 05 18:33:25 TRT 2022","Mon Sep 05 18:33:26 TRT 2022","29","Surefire suite","Surefire test","EnuygunTest.EnuygunFlightTest","EnuygunTest.EnuygunFlightTest","getTitle","getTitle","check final page"
"passed","Mon Sep 05 18:32:59 TRT 2022","Mon Sep 05 18:33:00 TRT 2022","741","Surefire suite","Surefire test","ApiTests.PetStoreTest","ApiTests.PetStoreTest","findPetByIdTest","findPetByIdTest","get find by pet by id"
"passed","Mon Sep 05 18:32:55 TRT 2022","Mon Sep 05 18:32:56 TRT 2022","899","Surefire suite","Surefire test","ApiTests.GroceryTest","ApiTests.GroceryTest","getGroceryByIdTest","getGroceryByIdTest","get grocery by id"
"passed","Mon Sep 05 18:32:56 TRT 2022","Mon Sep 05 18:32:56 TRT 2022","427","Surefire suite","Surefire test","ApiTests.GroceryTest","ApiTests.GroceryTest","delGroceryTest","delGroceryTest","delete grocery by name"
